Date,Open,High,Low,Close,Volume
2024-01-01,100.0,101.0,99.0,99.47,1287
2024-01-02,100.22,101.22,99.22,99.16,1249
2024-01-03,100.45,101.45,99.45,99.6,1109
2024-01-04,100.67,101.67,99.67,100.64,1160
2024-01-05,100.9,101.9,99.9,101.04,1253
2024-01-06,101.12,102.12,100.12,100.74,1279
2024-01-07,101.35,102.35,100.35,100.43,948
2024-01-08,101.57,102.57,100.57,99.92,914
2024-01-09,101.8,102.8,100.8,99.98,1307
2024-01-10,102.02,103.02,101.02,99.35,1072
2024-01-11,102.25,103.25,101.25,99.37,1064
2024-01-12,102.47,103.47,101.47,99.5,1458
2024-01-13,102.7,103.7,101.7,99.36,1473
2024-01-14,102.92,103.92,101.92,99.16,1104
2024-01-15,103.15,104.15,102.15,99.81,940
2024-01-16,103.37,104.37,102.37,100.45,1239
2024-01-17,103.6,104.6,102.6,100.0,1063
2024-01-18,103.82,104.82,102.82,99.9,1279
2024-01-19,104.04,105.04,103.04,99.4,1237
2024-01-20,104.27,105.27,103.27,99.58,1412
2024-01-21,104.49,105.49,103.49,99.34,1140
2024-01-22,104.72,105.72,103.72,98.8,993
2024-01-23,104.94,105.94,103.94,98.71,1233
2024-01-24,105.17,106.17,104.17,98.21,1166
2024-01-25,105.39,106.39,104.39,97.36,1326
2024-01-26,105.62,106.62,104.62,96.83,1059
2024-01-27,105.84,106.84,104.84,96.74,1429
2024-01-28,106.07,107.07,105.07,96.56,1374
2024-01-29,106.29,107.29,105.29,96.62,1186
2024-01-30,106.52,107.52,105.52,96.33,1389
2024-01-31,106.74,107.74,105.74,96.51,1409
2024-02-01,106.97,107.97,105.97,96.83,1117
2024-02-02,107.19,108.19,106.19,97.13,914
2024-02-03,107.42,108.42,106.42,96.94,1217
2024-02-04,107.64,108.64,106.64,96.8,1184
2024-02-05,107.87,108.87,106.87,97.11,1204
2024-02-06,108.09,109.09,107.09,97.22,1399
2024-02-07,108.31,109.31,107.31,96.38,971
2024-02-08,108.54,109.54,107.54,96.08,1066
2024-02-09,108.76,109.76,107.76,95.77,1120
2024-02-10,108.99,109.99,107.99,96.33,1274
2024-02-11,109.21,110.21,108.21,96.1,1057
2024-02-12,109.44,110.44,108.44,96.4,1201
2024-02-13,109.66,110.66,108.66,96.59,990
2024-02-14,109.89,110.89,108.89,96.92,1396
2024-02-15,110.11,111.11,109.11,95.98,971
2024-02-16,110.34,111.34,109.34,95.93,1016
2024-02-17,110.56,111.56,109.56,96.9,1292
2024-02-18,110.79,111.79,109.79,97.18,1315
2024-02-19,111.01,112.01,110.01,98.15,1012
2024-02-20,111.24,112.24,110.24,97.46,1342
2024-02-21,111.46,112.46,110.46,97.44,1299
2024-02-22,111.69,112.69,110.69,97.46,1415
2024-02-23,111.91,112.91,110.91,98.26,1022
2024-02-24,112.13,113.13,111.13,97.6,1023
2024-02-25,112.36,113.36,111.36,98.13,904
2024-02-26,112.58,113.58,111.58,97.44,1452
2024-02-27,112.81,113.81,111.81,97.16,1003
2024-02-28,113.03,114.03,112.03,98.15,970
2024-02-29,113.26,114.26,112.26,98.25,1082
2024-03-01,113.48,114.48,112.48,98.98,1096
2024-03-02,113.71,114.71,112.71,99.37,1390
2024-03-03,113.93,114.93,112.93,99.63,1022
2024-03-04,114.16,115.16,113.16,99.48,1230
2024-03-05,114.38,115.38,113.38,98.88,1167
2024-03-06,114.61,115.61,113.61,99.06,1344
2024-03-07,114.83,115.83,113.83,98.67,1285
2024-03-08,115.06,116.06,114.06,97.83,1125
2024-03-09,115.28,116.28,114.28,98.1,929
2024-03-10,115.51,116.51,114.51,98.32,1307
2024-03-11,115.73,116.73,114.73,99.22,1462
2024-03-12,115.96,116.96,114.96,99.4,1163
2024-03-13,116.18,117.18,115.18,99.16,1156
2024-03-14,116.4,117.4,115.4,98.84,1229
2024-03-15,116.63,117.63,115.63,98.99,1444
2024-03-16,116.85,117.85,115.85,99.3,1133
2024-03-17,117.08,118.08,116.08,100.19,1443
2024-03-18,117.3,118.3,116.3,99.51,1186
2024-03-19,117.53,118.53,116.53,99.2,1022
2024-03-20,117.75,118.75,116.75,100.32,1040
2024-03-21,117.98,118.98,116.98,99.77,1249
2024-03-22,118.2,119.2,117.2,99.96,943
2024-03-23,118.43,119.43,117.43,100.05,1450
2024-03-24,118.65,119.65,117.65,100.11,925
2024-03-25,118.88,119.88,117.88,100.41,1000
2024-03-26,119.1,120.1,118.1,100.41,1318
2024-03-27,119.33,120.33,118.33,100.83,1319
2024-03-28,119.55,120.55,118.55,100.84,1029
2024-03-29,119.78,120.78,118.78,100.9,1370
2024-03-30,120.0,121.0,119.0,101.05,986
