ticker,contract_type,expiration_date,strike_price
O:SPY250918C00500000,call,2025-09-18,500.0
O:SPY250918C00501000,call,2025-09-18,501.0
O:SPY250918C00502000,call,2025-09-18,502.0
O:SPY250918C00503000,call,2025-09-18,503.0
O:SPY250918C00504000,call,2025-09-18,504.0
O:SPY250918C00505000,call,2025-09-18,505.0
O:SPY250918C00506000,call,2025-09-18,506.0
O:SPY250918C00507000,call,2025-09-18,507.0
O:SPY250918C00508000,call,2025-09-18,508.0
O:SPY250918C00509000,call,2025-09-18,509.0
O:SPY250918C00510000,call,2025-09-18,510.0
O:SPY250918C00511000,call,2025-09-18,511.0
O:SPY250918C00512000,call,2025-09-18,512.0
O:SPY250918C00513000,call,2025-09-18,513.0
O:SPY250918C00514000,call,2025-09-18,514.0
O:SPY250918C00515000,call,2025-09-18,515.0
O:SPY250918C00516000,call,2025-09-18,516.0
O:SPY250918C00517000,call,2025-09-18,517.0
O:SPY250918C00518000,call,2025-09-18,518.0
O:SPY250918C00519000,call,2025-09-18,519.0
O:SPY250918C00520000,call,2025-09-18,520.0
O:SPY250918C00521000,call,2025-09-18,521.0
O:SPY250918C00522000,call,2025-09-18,522.0
O:SPY250918C00523000,call,2025-09-18,523.0
O:SPY250918C00524000,call,2025-09-18,524.0
O:SPY250918C00525000,call,2025-09-18,525.0
O:SPY250918C00526000,call,2025-09-18,526.0
O:SPY250918C00527000,call,2025-09-18,527.0
O:SPY250918C00528000,call,2025-09-18,528.0
O:SPY250918C00529000,call,2025-09-18,529.0
O:SPY250918C00530000,call,2025-09-18,530.0
O:SPY250918C00531000,call,2025-09-18,531.0
O:SPY250918C00532000,call,2025-09-18,532.0
O:SPY250918C00533000,call,2025-09-18,533.0
O:SPY250918C00534000,call,2025-09-18,534.0
O:SPY250918C00535000,call,2025-09-18,535.0
O:SPY250918C00536000,call,2025-09-18,536.0
O:SPY250918C00537000,call,2025-09-18,537.0
O:SPY250918C00538000,call,2025-09-18,538.0
O:SPY250918C00539000,call,2025-09-18,539.0
O:SPY250918C00540000,call,2025-09-18,540.0
O:SPY250918C00541000,call,2025-09-18,541.0
O:SPY250918C00542000,call,2025-09-18,542.0
O:SPY250918C00543000,call,2025-09-18,543.0
O:SPY250918C00544000,call,2025-09-18,544.0
O:SPY250918C00545000,call,2025-09-18,545.0
O:SPY250918C00546000,call,2025-09-18,546.0
O:SPY250918C00547000,call,2025-09-18,547.0
O:SPY250918C00548000,call,2025-09-18,548.0
O:SPY250918C00549000,call,2025-09-18,549.0
O:SPY250918C00550000,call,2025-09-18,550.0
O:SPY250918C00551000,call,2025-09-18,551.0
O:SPY250918C00552000,call,2025-09-18,552.0
O:SPY250918C00553000,call,2025-09-18,553.0
O:SPY250918C00554000,call,2025-09-18,554.0
O:SPY250918C00555000,call,2025-09-18,555.0
O:SPY250918C00556000,call,2025-09-18,556.0
O:SPY250918C00557000,call,2025-09-18,557.0
O:SPY250918C00558000,call,2025-09-18,558.0
O:SPY250918C00559000,call,2025-09-18,559.0
O:SPY250918C00560000,call,2025-09-18,560.0
O:SPY250918C00561000,call,2025-09-18,561.0
O:SPY250918C00562000,call,2025-09-18,562.0
O:SPY250918C00563000,call,2025-09-18,563.0
O:SPY250918C00564000,call,2025-09-18,564.0
O:SPY250918C00565000,call,2025-09-18,565.0
O:SPY250918C00566000,call,2025-09-18,566.0
O:SPY250918C00567000,call,2025-09-18,567.0
O:SPY250918C00568000,call,2025-09-18,568.0
O:SPY250918C00569000,call,2025-09-18,569.0
O:SPY250918C00570000,call,2025-09-18,570.0
O:SPY250918C00571000,call,2025-09-18,571.0
O:SPY250918C00572000,call,2025-09-18,572.0
O:SPY250918C00573000,call,2025-09-18,573.0
O:SPY250918C00574000,call,2025-09-18,574.0
O:SPY250918C00575000,call,2025-09-18,575.0
O:SPY250918C00576000,call,2025-09-18,576.0
O:SPY250918C00577000,call,2025-09-18,577.0
O:SPY250918C00578000,call,2025-09-18,578.0
O:SPY250918C00579000,call,2025-09-18,579.0
O:SPY250918C00580000,call,2025-09-18,580.0
O:SPY250918C00581000,call,2025-09-18,581.0
O:SPY250918C00582000,call,2025-09-18,582.0
O:SPY250918C00583000,call,2025-09-18,583.0
O:SPY250918C00584000,call,2025-09-18,584.0
O:SPY250918C00585000,call,2025-09-18,585.0
O:SPY250918C00586000,call,2025-09-18,586.0
O:SPY250918C00587000,call,2025-09-18,587.0
O:SPY250918C00588000,call,2025-09-18,588.0
O:SPY250918C00589000,call,2025-09-18,589.0
O:SPY250918C00590000,call,2025-09-18,590.0
O:SPY250918C00591000,call,2025-09-18,591.0
O:SPY250918C00592000,call,2025-09-18,592.0
O:SPY250918C00593000,call,2025-09-18,593.0
O:SPY250918C00594000,call,2025-09-18,594.0
O:SPY250918C00595000,call,2025-09-18,595.0
O:SPY250918C00596000,call,2025-09-18,596.0
O:SPY250918C00597000,call,2025-09-18,597.0
O:SPY250918C00598000,call,2025-09-18,598.0
O:SPY250918C00599000,call,2025-09-18,599.0
O:SPY250918C00600000,call,2025-09-18,600.0
O:SPY250918C00601000,call,2025-09-18,601.0
O:SPY250918C00602000,call,2025-09-18,602.0
O:SPY250918C00603000,call,2025-09-18,603.0
O:SPY250918C00604000,call,2025-09-18,604.0
O:SPY250918C00605000,call,2025-09-18,605.0
O:SPY250918C00606000,call,2025-09-18,606.0
O:SPY250918C00607000,call,2025-09-18,607.0
O:SPY250918C00608000,call,2025-09-18,608.0
O:SPY250918C00609000,call,2025-09-18,609.0
O:SPY250918C00610000,call,2025-09-18,610.0
O:SPY250918C00611000,call,2025-09-18,611.0
O:SPY250918C00612000,call,2025-09-18,612.0
O:SPY250918C00613000,call,2025-09-18,613.0
O:SPY250918C00614000,call,2025-09-18,614.0
O:SPY250918C00615000,call,2025-09-18,615.0
O:SPY250918C00616000,call,2025-09-18,616.0
O:SPY250918C00617000,call,2025-09-18,617.0
O:SPY250918C00618000,call,2025-09-18,618.0
O:SPY250918C00619000,call,2025-09-18,619.0
O:SPY250918C00620000,call,2025-09-18,620.0
O:SPY250918C00621000,call,2025-09-18,621.0
O:SPY250918C00622000,call,2025-09-18,622.0
O:SPY250918C00623000,call,2025-09-18,623.0
O:SPY250918C00624000,call,2025-09-18,624.0
O:SPY250918C00625000,call,2025-09-18,625.0
O:SPY250918C00626000,call,2025-09-18,626.0
O:SPY250918C00627000,call,2025-09-18,627.0
O:SPY250918C00628000,call,2025-09-18,628.0
O:SPY250918C00629000,call,2025-09-18,629.0
O:SPY250918C00630000,call,2025-09-18,630.0
O:SPY250918C00631000,call,2025-09-18,631.0
O:SPY250918C00632000,call,2025-09-18,632.0
O:SPY250918C00633000,call,2025-09-18,633.0
O:SPY250918C00634000,call,2025-09-18,634.0
O:SPY250918C00635000,call,2025-09-18,635.0
O:SPY250918C00636000,call,2025-09-18,636.0
O:SPY250918C00637000,call,2025-09-18,637.0
O:SPY250918C00638000,call,2025-09-18,638.0
O:SPY250918C00639000,call,2025-09-18,639.0
O:SPY250918C00640000,call,2025-09-18,640.0
O:SPY250918C00641000,call,2025-09-18,641.0
O:SPY250918C00642000,call,2025-09-18,642.0
O:SPY250918C00643000,call,2025-09-18,643.0
O:SPY250918C00644000,call,2025-09-18,644.0
O:SPY250918C00645000,call,2025-09-18,645.0
O:SPY250918C00646000,call,2025-09-18,646.0
O:SPY250918C00647000,call,2025-09-18,647.0
O:SPY250918C00648000,call,2025-09-18,648.0
O:SPY250918C00649000,call,2025-09-18,649.0
O:SPY250918C00650000,call,2025-09-18,650.0
O:SPY250918C00651000,call,2025-09-18,651.0
O:SPY250918C00652000,call,2025-09-18,652.0
O:SPY250918C00653000,call,2025-09-18,653.0
O:SPY250918C00654000,call,2025-09-18,654.0
O:SPY250918C00655000,call,2025-09-18,655.0
O:SPY250918C00656000,call,2025-09-18,656.0
O:SPY250918C00657000,call,2025-09-18,657.0
O:SPY250918C00658000,call,2025-09-18,658.0
O:SPY250918C00659000,call,2025-09-18,659.0
O:SPY250918C00660000,call,2025-09-18,660.0
O:SPY250918C00661000,call,2025-09-18,661.0
O:SPY250918C00662000,call,2025-09-18,662.0
O:SPY250918C00663000,call,2025-09-18,663.0
O:SPY250918C00664000,call,2025-09-18,664.0
O:SPY250918C00665000,call,2025-09-18,665.0
O:SPY250918C00666000,call,2025-09-18,666.0
O:SPY250918C00667000,call,2025-09-18,667.0
O:SPY250918C00668000,call,2025-09-18,668.0
O:SPY250918C00669000,call,2025-09-18,669.0
O:SPY250918C00670000,call,2025-09-18,670.0
O:SPY250918C00671000,call,2025-09-18,671.0
O:SPY250918C00672000,call,2025-09-18,672.0
O:SPY250918C00673000,call,2025-09-18,673.0
O:SPY250918C00674000,call,2025-09-18,674.0
O:SPY250918C00675000,call,2025-09-18,675.0
O:SPY250918C00676000,call,2025-09-18,676.0
O:SPY250918C00677000,call,2025-09-18,677.0
O:SPY250918C00678000,call,2025-09-18,678.0
O:SPY250918C00679000,call,2025-09-18,679.0
O:SPY250918C00680000,call,2025-09-18,680.0
O:SPY250918C00681000,call,2025-09-18,681.0
O:SPY250918C00682000,call,2025-09-18,682.0
O:SPY250918C00683000,call,2025-09-18,683.0
O:SPY250918C00684000,call,2025-09-18,684.0
O:SPY250918C00685000,call,2025-09-18,685.0
O:SPY250918C00686000,call,2025-09-18,686.0
O:SPY250918C00687000,call,2025-09-18,687.0
O:SPY250918C00688000,call,2025-09-18,688.0
O:SPY250918C00689000,call,2025-09-18,689.0
O:SPY250918C00690000,call,2025-09-18,690.0
O:SPY250918C00691000,call,2025-09-18,691.0
O:SPY250918C00692000,call,2025-09-18,692.0
O:SPY250918C00693000,call,2025-09-18,693.0
O:SPY250918C00694000,call,2025-09-18,694.0
O:SPY250918C00695000,call,2025-09-18,695.0
O:SPY250918C00696000,call,2025-09-18,696.0
O:SPY250918C00698000,call,2025-09-18,698.0
O:SPY250918C00700000,call,2025-09-18,700.0
O:SPY250918C00702000,call,2025-09-18,702.0
O:SPY250918C00704000,call,2025-09-18,704.0
O:SPY250918C00705000,call,2025-09-18,705.0
O:SPY250918C00706000,call,2025-09-18,706.0
O:SPY250918C00708000,call,2025-09-18,708.0
O:SPY250918C00710000,call,2025-09-18,710.0
O:SPY250918C00715000,call,2025-09-18,715.0
O:SPY250918C00720000,call,2025-09-18,720.0
O:SPY250918C00725000,call,2025-09-18,725.0
O:SPY250918C00730000,call,2025-09-18,730.0
