feature,mi
ema_60,0.45178997655632847
ema_60_lag1,0.4125863152938438
obv,0.27655104638471184
ema_20_lag1,0.2606018235387022
rv_60_lag1,0.25515599555306845
amihud_nz,0.24945844565336883
atr_20,0.2436182777591689
macd_hist,0.2402120238899521
roc_60,0.22986532705428275
sma_60_lag1,0.21290817934119755
vol_z_60_lag1,0.2110816897137362
atr_10,0.2048297318072474
roc_5_lag1,0.1997305627307584
rv_20,0.19689448765605766
roc_5,0.19660126370814202
atr_10_lag1,0.19431416971605464
ema_20,0.1915656772708736
rsi_14,0.187226282602716
atr_20_lag1,0.17878952349542998
macd_signal,0.17733330692381033
ema_5,0.17279955129186253
sma_10_lag1,0.17274187395946417
macd_signal_lag1,0.16617355799939104
rv_5_nz,0.15573196033731707
rsi_14_lag1,0.1539233609078583
vol_z_60,0.14863508344159726
sma_5,0.14073670025142038
bb_pctb_10,0.13989556885066623
sma_20,0.13800764566662327
obv_lag1,0.13701015192145727
atr_5,0.13145867983075332
sma_20_lag1,0.13082126943262828
bb_bw_10_nz,0.12467221132580497
sma_10_nz,0.12257954041545704
iv_mean_t3_31_90,0.11969376432042877
bb_bw_10_lag1,0.1155753702915967
gamma_total_t3_31_90,0.11440538195465488
dow_0,0.11097533352445765
bb_bw_10,0.11048485332580338
option_sentiment_t4_90_plus,0.10781344768507051
rv_60,0.10626972150983272
roc_10,0.1049582400231377
iv_mean_t4_90_plus,0.10364374388430364
atr_20_nz,0.10026015561453883
bb_pctb_10_lag1,0.1001893602367474
ema_10_lag1,0.09876710553230494
macd_hist_lag1,0.09873668308909145
sma_5_lag1,0.09792578705314159
rv_20_lag1,0.09511649624301577
ema_10,0.0909919425492689
vol_z_20_nz,0.08591278451759177
ema_5_lag1,0.08305664428705062
atr_5_lag1,0.08199102841651174
macd_signal_nz,0.08073222440249284
atr_60,0.07908609085359819
ema_60_nz,0.07562580829964105
sma_10,0.07112906555287735
atr_10_nz,0.06998315225730556
macd,0.06970050527588079
rv_5,0.06950671886117443
mdd_60_nz,0.06520211985924629
macd_lag1,0.06509534993443089
sma_20_nz,0.06431313645528602
log_ret_1,0.06157029249613433
roc_10_lag1,0.061560472416423595
vol_z_10_nz,0.06141219762812944
rv_5_lag1,0.06072902257683799
ret_1,0.059622240548082184
dow_3,0.05730232901172738
mdd_60_lag1,0.05665677230917754
option_sentiment_t1_0_7,0.05645328896299673
oi_call_put_short,0.05427872161578362
sma_60,0.05139783722545754
vol_z_10_lag1,0.04777855466681391
rv_60_nz,0.047308936247709044
gamma_total_t1_0_7,0.045523142630104596
hl_spread_lag1,0.04196721911259571
iv_mean_t2_8_30,0.0416677338820326
vol_z_20,0.04077902785190113
roc_60_nz,0.03964288572688579
vol_z_60_nz,0.039147403585212626
dow_4,0.03422490636058928
macd_nz,0.03377486772294125
iv_skew_t2_8_30,0.03324890341315356
vol_z_5_lag1,0.025615835552201816
option_sentiment_t3_31_90,0.022203854243273424
roc_20,0.0202865467807134
dow_5,0.013089027425801314
iv_mean_t1_0_7,0.012899281358212278
option_sentiment_t2_8_30,0.010611422893588962
roc_5_nz,0.008702314231347597
ema_5_nz,0.0072206240390571
ret_1_nz,0.006570420611510697
rv_10_nz,0.006095750009379897
vol_z_5_nz,0.005569121046776093
ema_20_nz,0.003935851482111508
rv_10,0.0033931341579633845
gamma_total_t4_90_plus,0.002071532559160927
vol_z_10,0.002067885201040731
iv_skew_t3_31_90,0.00024565020330502563
iv_skew_t1_0_7,0.0
dow_6,0.0
gamma_total_t2_8_30,0.0
vol_z_5,0.0
iv_skew_t4_90_plus,0.0
dow_2,0.0
dow_1,0.0
rsi_14_nz,0.0
hl_spread,0.0
rv_20_nz,0.0
hl_spread_nz,0.0
macd_hist_nz,0.0
ret_1_lag1,0.0
log_ret_1_lag1,0.0
obv_nz,0.0
bb_pctb_10_nz,0.0
sma_60_nz,0.0
rv_10_lag1,0.0
atr_60_nz,0.0
roc_20_nz,0.0
roc_10_nz,0.0
amihud,0.0
ema_10_nz,0.0
roc_20_lag1,0.0
vol_z_20_lag1,0.0
atr_60_lag1,0.0
roc_60_lag1,0.0
sma_5_nz,0.0
atr_5_nz,0.0
log_ret_1_nz,0.0
amihud_lag1,0.0
mdd_60,0.0
oi_call_put_long,0.0
